Kategori,Marka,Model,Fiyat,Yorum_Sayisi,Link
Laptop,Casper,"Casper Nirvana X600.7430-DF00X-G-F R5-7430U 32 GB 1 TB NVMe SSD 15.6"" Dos Dizüstü Bilgisayar",26899,3,https://www.n11.com/urun/casper-nirvana-x6007430-df00x-g-f-r5-7430u-32-gb-1-tb-nvme-ssd-156-dos-dizustu-bilgisayar-66007246
Laptop,MSI,"MSI CYBORG 15 B13WFKG-491XTR i5-13420H 16 GB 512 GB SSD 8 GB RTX5060 15.6"" Dos Dizüstü Bilgisayar",51596.60,0,https://www.n11.com/urun/msi-cyborg-15-b13wfkg-491xtr-i5-13420h-16-gb-512-gb-ssd-8-gb-rtx5060-156-dos-dizustu-bilgisayar-108409979
Laptop,Asus,"Asus Vivobook 15 X1504VA-NJ2770 i7-1355U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",26433.86,0,https://www.n11.com/urun/asus-vivobook-15-x1504va-nj2770-i7-1355u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-109253812
Laptop,Asus,"Asus Vivobook S16 S3607VA-RP012 i7-13620H 16 GB 1 TB SSD 16"" Wuxga Free Dos Dizüstü Bilgisayar",36961.28,0,https://www.n11.com/urun/asus-vivobook-s16-s3607va-rp012-i7-13620h-16-gb-1-tb-ssd-16-wuxga-free-dos-dizustu-bilgisayar-100652532
Laptop,MSI,"MSI Cyborg 15 A13VE-1863XTR i5-13420H 16 GB 512 GB SSD RTX4050 15.6"" Dos Dizüstü Bilgisayar",35331.89,0,https://www.n11.com/urun/msi-cyborg-15-a13ve-1863xtr-i5-13420h-16-gb-512-gb-ssd-rtx4050-156-dos-dizustu-bilgisayar-85579736
Laptop,Lenovo,"Lenovo LOQ 15IAX9 83GS00PHTR i5-12450HX 12 GB 1 TB SSD 8 GB RTX4060 15.6"" Dos Dizüstü Bilgisayar",43244.07,2,https://www.n11.com/urun/lenovo-loq-15iax9-83gs00phtr-i5-12450hx-12-gb-1-tb-ssd-8-gb-rtx4060-156-dos-dizustu-bilgisayar-68184498
Laptop,Lenovo,"Lenovo V15 G4 IRU 83A100HXTR i7-1355U 16 GB 1 TB SSD 15.6"" Dos Dizüstü Bilgisayar",29999,4,https://www.n11.com/urun/lenovo-v15-g4-iru-83a100hxtr-i7-1355u-16-gb-1-tb-ssd-156-dos-dizustu-bilgisayar-55612671
Laptop,Xiaomi,"Xiaomi RedmiBook 15E i7-11390H 16 GB 512 GB SSD 15.6"" W11H Q İng Dizüstü Bilgisayar",21499,20,https://www.n11.com/urun/xiaomi-redmibook-15e-i7-11390h-16-gb-512-gb-ssd-156-w11h-q-ing-dizustu-bilgisayar-46414817
Laptop,HP,"HP 250 G10 B2PH7ES i5-1334U 16 GB 512 GB SSD 15.6"" Dos Dizüstü Bilgisayar",23978.60,3,https://www.n11.com/urun/hp-250-g10-b2ph7es-i5-1334u-16-gb-512-gb-ssd-156-dos-dizustu-bilgisayar-78115986
Laptop,Dell,"Dell Vostro 3530 N1605PVNB3530W i7-1355U 16 GB 512 GB SSD 15.6"" W11P Dizüstü Bilgisayar",28024.05,0,https://www.n11.com/urun/dell-vostro-3530-n1605pvnb3530w-i7-1355u-16-gb-512-gb-ssd-156-w11p-dizustu-bilgisayar-97871795
